brand,category,WB_ID,name,article,skus,price,discount,discountedPrice,clubDiscount,clubDiscountedPrice,spp,wb_price,personal_discount,personal_price,cost_price,profit,"markup, %"
PARFUMS CONSTANTINE,Туалетная вода,12190438,"Духи женские цветочные сирень Mademoiselle 5, 50 мл",INTERSHL000011,"['4603720462118', '4660001938267']",4000,68,1280,1,1267.2,32,856.0,7.0,796.0,161.0,1106.2,787
PARFUMS CONSTANTINE,Туалетная вода,12190436,"Духи женские стойкие со шлейфом Mademoiselle 3, 50 мл",INTERSHL000009,"['4603720462095', '4660001938229']",4000,67,1320,1,1306.8,32,883.0,7.0,821.0,185.0,1121.8,706
PARFUMS CONSTANTINE,Туалетная вода,21013824,"Духи женские стойкие свежие Mademoiselle 13, 50 мл",PCM000003,['4603720462231'],4000,69,1240,1,1227.6,32,829.0,7.0,770.0,186.0,1041.6,660
PARFUMS CONSTANTINE,Туалетная вода,12645295,"Женская парфюмерная вода сладкая La Mia Verona, 60мл",PCLM000002,"['4604094035113', '4607817711806']",12000,56,5280,1,5227.2,32,3532.0,7.0,3284.0,625.0,4602.2,836
PARFUMS CONSTANTINE,Туалетная вода,12645294,"Женская парфюмерная вода свежая La Mia Venezia, 60мл",PCLM000001,"['4604094035106', '4607817711790']",12000,56,5280,1,5227.2,32,3532.0,7.0,3284.0,651.0,4576.2,803
PARFUMS CONSTANTINE,Туалетная вода,12645297,"Женская парфюмерная вода цитрусовая La Mia Roma, 60мл",PCLM000004,"['4604094035137', '4607817711783']",12000,56,5280,1,5227.2,32,3532.0,7.0,3284.0,695.0,4532.2,752
PARFUMS CONSTANTINE,Туалетная вода,12645299,"Женская парфюмерная вода цветочная La Mia Firenze, 60мл",PCLM000006,"['4604094035151', '4607817711776']",12000,56,5280,1,5227.2,32,3532.0,7.0,3284.0,658.0,4569.2,794
PARFUMS CONSTANTINE,Туалетная вода,490477519,"Парфюмерная вода для женщин SELECTIVE Mystic Red, 50 мл",SELECTIV000014,['4607817711196'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,575.0,5725.0,1096
PARFUMS CONSTANTINE,Туалетная вода,490485179,"Парфюмерная вода для женщин SELECTIVE Pure Jasmin, 50 мл",SELECTIV000013,['4607817711189'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,601.0,5699.0,1048
PARFUMS CONSTANTINE,Туалетная вода,490489082,"Парфюмерная вода для женщин SELECTIVE Romantic vetiver,50 мл",SELECTIV000015,['4607817711202'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,575.0,5725.0,1096
PARFUMS CONSTANTINE,Туалетная вода,490503896,"Парфюмерная вода для женщин SELECTIVE White crystal, 50 мл",SELECTIV000017,['4607817711226'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,580.0,5720.0,1086
PARFUMS CONSTANTINE,Туалетная вода,490516010,"Парфюмерная вода для женщин SELECTIVE Wild cherry, 50 мл",SELECTIV000016,['4607817711219'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,590.0,5710.0,1068
PARFUMS CONSTANTINE,Туалетная вода,397338265,"Духи женские стойкие цветочные BOHEMIA AURORA, 50 мл",BOHEMIA000013,['4607817711998'],6000,48,3120,0,3120.0,33,2087.0,7.0,1940.0,298.0,2822.0,1047
PARFUMS CONSTANTINE,Туалетная вода,21013822,"Духи женские стойкие цветочные Mademoiselle 11, 50 мл",PCM000001,['4603720462217'],4000,66,1360,1,1346.4,32,909.0,7.0,845.0,212.0,1134.4,635
PARFUMS CONSTANTINE,Туалетная вода,21013823,"Духи женские свежие со шлейфом Mademoiselle 12, 50 мл",PCM000002,['4603720462224'],4000,69,1240,1,1227.6,32,829.0,7.0,770.0,184.0,1043.6,667
PARFUMS CONSTANTINE,Туалетная вода,21013826,"Духи женские фруктовые стойкие Mademoiselle 15, 50 мл",PCM000005,['4603720462255'],4000,69,1240,1,1227.6,32,829.0,7.0,770.0,230.0,997.6,534
PARFUMS CONSTANTINE,Туалетная вода,21013827,"Духи женские цветочные стойкие Mademoiselle 16, 50 мл",PCM000006,['4603720462262'],4000,69,1240,1,1227.6,32,829.0,7.0,770.0,188.0,1039.6,653
PARFUMS CONSTANTINE,Туалетная вода,21013815,"Духи мужские стойкие древесные Gentleman 14, 100 мл",PCG000001,['4603720462170'],4000,64,1440,1,1425.6,32,963.0,7.0,895.0,249.0,1176.6,573
PARFUMS CONSTANTINE,Туалетная вода,12190437,"Духи женские стойкие со шлейфом Mademoiselle 4, 50 мл",INTERSHL000010,"['4603720462101', '4660001938243']",4000,68,1280,1,1267.2,32,856.0,7.0,796.0,164.0,1103.2,773
PARFUMS CONSTANTINE,Туалетная вода,12190435,"Духи женские цитрусовые нежные Mademoiselle 2, 50 мл",INTERSHL000008,"['4603720462088', '4660001938205']",4000,68,1280,1,1267.2,32,856.0,7.0,796.0,162.0,1105.2,782
PARFUMS CONSTANTINE,Туалетная вода,12190434,"Духи женские стойкие цветочные Mademoiselle 1, 50 мл",INTERSHL000007,"['4603720462071', '4660001938182']",4000,68,1280,1,1267.2,32,856.0,7.0,796.0,160.0,1107.2,792
PARFUMS CONSTANTINE,Туалетная вода,38680837,"Духи женские стойкие цветочные BOHEMIA MIDNIGHT, 50 мл",BOHEMIAB0000020,['4603720462439'],5000,69,1550,1,1534.5,32,1036.0,7.0,963.0,,,
PARFUMS CONSTANTINE,Туалетная вода,415555134,"Духи женские цветочные Galvanoliori LILAC FLEUR, 50 мл",GALVANOL000003,['4607817712100'],2000,58,840,0,840.0,33,561.0,7.0,521.0,145.0,695.0,579
PARFUMS CONSTANTINE,Туалетная вода,415453606,"Духи женские с вишней стойкие Galvanoliori CHERRY JEM, 50 мл",GALVANOL000001,['4607817712018'],2000,58,840,0,840.0,33,561.0,7.0,521.0,138.0,702.0,609
PARFUMS CONSTANTINE,Туалетная вода,415525896,"Духи женские цветочные Galvanoliori FLORAL WHITE, 50 мл",GALVANOL000024,['4607817712094'],2000,58,840,0,840.0,33,561.0,7.0,521.0,144.0,696.0,583
PARFUMS CONSTANTINE,Туалетная вода,416973739,"Духи женские восточные Galvanoliori GOLD TALISMAN, 50 мл",GALVANOL000005,['4607817712124'],2000,58,840,0,840.0,33,561.0,7.0,521.0,141.0,699.0,596
PARFUMS CONSTANTINE,Туалетная вода,415498429,"Духи женские императрица Galvanoliori PINK MARMELAD, 50 мл",GALVANOL000002,['4607817712087'],2000,58,840,0,840.0,33,561.0,7.0,521.0,141.0,699.0,596
PARFUMS CONSTANTINE,Туалетная вода,415571650,"Духи женские сладкие Galvanoliori MAGONOLIA DIVINE, 50 мл",GALVANOL000004,['4607817712117'],2000,58,840,0,840.0,33,561.0,7.0,521.0,143.0,697.0,587
,Туалетная вода,23791014,"Духи женские Good Girl ванильные New York TEN, 50 мл",ELOR62378,['4603720462378'],2000,0,2000,1,1980.0,,,,,157.0,1823.0,1261
,Туалетная вода,100059556,"Духи мужские свежие New York TWO, 90 мл",NYMEN000016,['4607817710861'],2000,62,760,1,752.4,32,508.0,7.0,472.0,170.0,582.4,443
,Туалетная вода,101236421,"Духи мужские пряные New York FIVE, 90 мл",NYMEN000004,['4607817710892'],2000,64,720,1,712.8,33,481.0,7.0,447.0,183.0,529.8,390
,Туалетная вода,114858899,"Духи мужские акватические New York ONE, 90 мл",NYMEN0000010,['4607817710854'],2000,63,740,1,732.6,32,495.0,7.0,460.0,,,
,Туалетная вода,114903541,"Духи мужские свежие New York SEVEN, 90 мл",NYMEN0000060,['4607817710915'],2000,62,760,1,752.4,32,508.0,7.0,472.0,,,
PARFUMS CONSTANTINE,Туалетная вода,411662545,"Духи женские стойкие вишневые BOHEMIA CHERRY EXTASY, 50 мл",BOHEMIA000008,['4607817711943'],5000,45,2750,0,2750.0,33,1839.0,7.0,1710.0,283.0,2467.0,972
PARFUMS CONSTANTINE,Туалетная вода,411504532,"Духи женские стойкие восточные BOHEMIA FORBIDDEN LOVE, 50 мл",BOHEMIA000009,['4607817711950'],5000,45,2750,0,2750.0,33,1839.0,7.0,1710.0,280.0,2470.0,982
PARFUMS CONSTANTINE,Туалетная вода,411365420,"Духи женские стойкие цитрусовые BOHEMIA SUN DROP, 50 мл",BOHEMIA000007,"['2043908674681', '4607817711936']",5000,45,2750,0,2750.0,33,1839.0,7.0,1710.0,270.0,2480.0,1019
PARFUMS CONSTANTINE,Туалетная вода,12645293,"Духи женские фруктовые BOHEMIA HEART OF ETERNITY, 50мл",BOHEMIA000006,['4604094038206'],5000,45,2750,1,2722.5,32,1839.0,7.0,1710.0,333.0,2389.5,818
PARFUMS CONSTANTINE,Туалетная вода,397270208,"Духи женские стойкие со шлейфом BOHEMIA ARGYLE VIOLET, 50 мл",BOHEMIA000012,['4607817711981'],6000,48,3120,0,3120.0,33,2087.0,7.0,1940.0,311.0,2809.0,1003
PARFUMS CONSTANTINE,Туалетная вода,397261468,"Духи женские нежные цветочные BOHEMIA LA LUNA, 50 мл",BOHEMIA000010,['4607817711967'],6000,48,3120,0,3120.0,33,2087.0,7.0,1940.0,285.0,2835.0,1095
,Туалетная вода,101238524,"Духи мужские цитрусовые New York SIX, 90 мл",NYMEN000005,['4607817710908'],2000,62,760,1,752.4,32,508.0,7.0,472.0,179.0,573.4,420
,Туалетная вода,114905354,"Духи мужские древесные New York EIGHT, 90 мл",NYMEN0000070,['4607817710922'],2000,63,740,1,732.6,32,495.0,7.0,460.0,,,
,Туалетная вода,114899777,"Духи мужские акватические New York THREE, 90 мл",NYMEN0000020,['4607817710878'],2000,63,740,1,732.6,32,495.0,7.0,460.0,,,
